Latitude,Longitude,Category
37.9061424,-86.7856015,11
37.8358604,-85.1167205,11
38.244356,-85.747849,11
38.2451121,-85.7486884,11
37.6828658,-85.2086486,11
37.573789,-85.23536,11
38.1237297,-85.8578092,11
38.7103267,-85.379367,11
37.4775608,-83.3798877,11
40.7025355,-89.4049511,11
38.0995627,-85.3444511,11
37.8475192,-85.9359322,11
38.2178754,-85.1635516,11
36.8339431,-87.4730732,11
38.1489286,-85.7841632,11
30.1890991,-82.6243978,11
38.3280892,-85.6083022,11
37.8388816,-85.2795118,11
38.402584,-85.4595127,11
38.2333672,-85.7927632,11
38.1406399,-85.6355,11
38.2202616,-85.6954431,11
31.0778194,-97.6611156,11
37.8509229,-85.7106129,11
38.5882162,-85.3147039,11
38.4320148,-85.3638181,11
38.1749697,-85.8239311,11
38.0587769,-85.9007453,11
38.1286343,-85.7639459,11
38.2498558,-85.765061,11
38.0439219,-85.2807208,11
38.2063857,-85.7219432,11
39.135651,-84.578056,11
38.1643645,-85.6909136,11
38.2146441,-85.8225104,11
38.3062352,-85.4521112,11
38.1409061,-85.7747592,11
38.1921342,-85.7967043,11
38.2256561,-85.7686346,11
38.2102929,-85.6658867,11
38.1268443,-85.4074467,11
38.2364225,-85.7168583,11
38.2619849,-85.607175,11
38.323824,-85.4831832,11
38.3080293,-85.5746762,11
37.0225179,-88.6370755,11
38.0985292,-85.8778534,11
37.5749477,-85.257238,11
37.0815299,-88.992709,11
38.2668396,-85.597151,11
37.838839,-85.9434522,11
34.1231191,-84.1188593,11
38.2527384,-85.7926709,11
38.0899336,-85.6491261,11
38.0896477,-85.6577986,11
37.5717941,-85.2572343,11
38.2437538,-85.8052485,11
37.7286161,-86.0781099,11
38.2647721,-85.7953058,11
37.9596888,-121.2601054,11
38.2355764,-85.731191,11
38.1554379,-85.8757646,11
37.975946,-85.7306078,11
38.189317,-85.6499495,11
38.1351121,-85.5932983,11
38.1853188,-85.7885918,11
37.8615266,-86.0570986,11
38.7141668,-85.3744105,11
38.6068625,-85.2669187,11
38.2564138,-85.7699194,11
38.2192617,-85.7990869,11
37.5733834,-85.258465,11
38.264826,-85.7989255,11
38.1615288,-85.7662054,11
38.2528803,-85.7877469,11
38.0921509,-85.8674468,11
38.1627488,-85.7064685,11
37.7758204,-85.9094974,11
38.1065027,-85.7480506,11
38.1097316,-85.6681844,11
38.1796541,-85.5898322,11
37.8404183,-85.9434066,11
38.4395071,-85.3132423,11
38.2083324,-85.768377,11
38.3031845,-85.5297733,11
38.0888215,-85.8298782,11
38.0799475,-85.868746,11
35.9025172,-77.5408201,11
38.1572864,-85.6261212,11
37.5503371,-85.387556,11
38.677886,-85.1756545,11
38.1585973,-85.7755034,11
38.2141387,-85.5708459,11
